spotify_id,name,followers,popularity,genres,chart_hits
58wXmynHaAWI5hwlPZP3qL,Booba,2526896,71,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']","['be (49)', 'fr (87)', 'it (1)', 'lu (41)', 'ma (19)', 'ch (54)']"
4K6blSRoklNdpw4mzLxwfn,Kumar Sanu,7194253,71,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",['in (1)']
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,7646310,71,['opm'],"['ph (23)', 'sa (2)', 'ae (6)']"
00me4Ke1LsvMxt5kydlMyU,Cosculluela,4891629,71,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']","['ar (6)', 'bo (6)', 'cl (8)', 'co (6)', 'cr (4)', 'do (13)', 'ec (7)', 'sv (6)', 'gt (6)', 'hn (7)', 'mt (1)', 'mx (5)', 'ni (5)', 'pa (7)', 'py (6)', 'pe (6)', 'es (7)', 'uy (7)']"
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,3309836,71,"['australian pop', 'boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']","['us (4)', 'au (3)', 'at (2)', 'be (4)', 'bg (4)', 'ca (4)', 'cy (4)', 'cz (3)', 'dk (4)', 'ee (4)', 'fi (4)', 'de (2)', 'gr (3)', 'hk (6)', 'hu (6)', 'id (4)', 'ie (2)', 'il (1)', 'it (1)', 'jp (3)', 'lv (4)', 'lt (5)', 'lu (3)', 'my (18)', 'mt (4)', 'nl (5)', 'nz (5)', 'no (4)', 'ph (5)', 'pt (1)', 'ro (4)', 'sa (1)', 'sg (22)', 'sk (4)', 'za (3)', 'kr (1)', 'se (1)', 'ch (2)', 'tw (15)', 'th (7)', 'ae (3)', 'vn (8)']"
6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,1949452,71,"['boston hip hop', 'hip hop', 'pop rap', 'rap']","['us (10)', 'gb (2)', 'au (8)', 'at (1)', 'be (1)', 'bg (6)', 'ca (10)', 'cy (7)', 'cz (1)', 'dk (2)', 'eg (1)', 'ee (2)', 'fi (1)', 'de (1)', 'gr (2)', 'hu (1)', 'is (1)', 'in (1)', 'ie (3)', 'il (3)', 'lv (2)', 'lt (3)', 'lu (4)', 'my (1)', 'mt (1)', 'nl (2)', 'nz (9)', 'no (2)', 'pt (2)', 'ro (4)', 'sa (3)', 'sg (1)', 'sk (1)', 'za (5)', 'se (1)', 'ch (3)', 'ae (5)']"
2wIVse2owClT7go1WT98tk,Missy Elliott,2043639,71,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']","['us (3)', 'gb (1)', 'au (1)', 'bg (1)', 'ca (3)', 'ee (1)', 'fi (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'nl (1)', 'nz (1)']"
6GRwwWAtmusrgAL5JF9Dfr,Callejero Fino,414030,71,['rkt'],"['ar (7)', 'py (1)', 'uy (4)']"
2y1VzMKAa5nmfXKtJL9jnj,Murda,1044102,71,"['basshall', 'turkish trap']","['at (1)', 'cy (3)', 'de (2)', 'nl (16)', 'ch (1)', 'tr (25)']"
43DRDu6nLSeIedZ7T1A616,Xand Avião,2555017,71,"['arrocha', 'forro de favela', 'funk carioca']","['br (8)', 'pt (1)']"
2qWK8K2Jfh67UqtwY8tCW6,YSY A,1130108,71,"['argentine hip hop', 'trap argentino', 'trap latino']","['ar (24)', 'uy (18)']"
60uh2KYYSCqAgJNxcU4DA0,Hombres G,3277864,71,"['latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'spanish rock']","['bo (1)', 'co (1)', 'cr (1)', 'ec (2)', 'sv (1)', 'gt (1)', 'hn (1)', 'mx (3)', 'ni (1)', 'pe (2)']"
3HqSLMAZ3g3d5poNaI7GOU,IU,7359299,71,['k-pop'],"['au (1)', 'ca (1)', 'eg (1)', 'hk (21)', 'in (1)', 'id (8)', 'jp (3)', 'my (15)', 'ma (1)', 'ph (8)', 'sa (1)', 'sg (20)', 'kr (25)', 'tw (25)', 'th (12)', 'ae (1)', 'vn (9)']"
21mKp7DqtSNHhCAU2ugvUw,ODESZA,1398675,71,"['chillwave', 'ninja']","['us (1)', 'ar (1)', 'au (4)', 'ca (1)', 'lv (1)', 'lt (1)', 'mt (1)', 'mx (1)', 'nl (1)', 'nz (2)', 'sk (1)']"
6P6GTRTigHBp8ZesNtpCKH,Almighty,468981,71,"['reggaeton', 'reggaeton flow', 'trap latino']","['cl (1)', 'do (2)', 'ni (1)', 'pa (1)']"
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,5611772,71,"['desi pop', 'filmi', 'modern bollywood']",['in (1)']
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,3514446,71,"['contemporary country', 'country', 'country road']","['us (4)', 'ca (4)']"
4ETSs924pXMzjIeD6E9b4u,Surfaces,866449,71,"['bedroom soul', 'pop']","['us (2)', 'gb (1)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'in (1)', 'id (1)', 'ie (1)', 'il (1)', 'it (1)', 'jp (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (1)', 'mt (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (1)', 'pa (1)', 'py (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'kr (2)', 'es (1)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'ua (1)', 'ae (1)', 'vn (1)']"
3lY9Fxceu60W1rbon7PkuF,Omar Montes,466030,71,"['flamenco urbano', 'urbano espanol']","['es (13)', 'uy (1)', 'ad (1)']"
3rfM2cGqF6DB0kUyytMkXx,Orochi,2175715,71,"['brazilian hip hop', 'funk carioca']","['br (9)', 'pt (1)']"
2VSHKHBTiXWplO8lxcnUC9,GAYLE,522019,71,['modern alternative pop'],"['us (1)', 'gb (2)', 'ar (1)', 'au (1)', 'at (2)', 'be (2)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (2)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (2)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (2)', 'fi (3)', 'fr (1)', 'de (2)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (2)', 'is (1)', 'in (1)', 'id (1)', 'ie (2)', 'il (1)', 'it (1)', 'jp (1)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (3)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'ru (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'kr (1)', 'es (1)', 'se (1)', 'ch (2)', 'tw (1)', 'th (1)', 'tr (1)', 'ua (1)', 'ae (1)', 'uy (1)', 'vn (1)']"
2q9wk5fkeU2C9CgCKdh4AN,Mc IG,890363,71,"['funk carioca', 'funk consciente', 'funk mtg', 'funk ostentacao', 'funk paulista']",['br (1)']
