artist_id,artist_name,top_links
7viqvBP4uYljgKcqYfLkvu,Arcangel,"Amenazzy, Quimico Ultra Mega, Pablo Chill-E, Alexis y Fido, Ricky Martin, Enrique Iglesias, ROSALÍA, Gigolo Y La Exce, Myke Towers, Pepe Quintana"
3tZdknQnzsVIIdaGCTj4RX,Quimico Ultra Mega,"De La Ghetto, Noriel, Myke Towers, J Alvarez, Rauw Alejandro, Brytiago, Zion & Lennox, Ozuna, Almighty, Eladio Carrion"
0tR60pwxQ5WKjPxQcKoCQ7,Messiah,"Arcangel, De La Ghetto, Nio Garcia, Darell, Daddy Yankee, Wisin, El Alfa, Rauw Alejandro, Cosculluela, Jory Boy"
41qil2VaGbD194gaEcmmyx,Will Smith,"Daddy Yankee, Maluma, Ricky Martin, Enrique Iglesias, Myke Towers, KAROL G, Sech, Luigi 21 Plus, Bryant Myers, Ivy Queen"
4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,"Myke Towers, Rauw Alejandro, Darell, DJ Luian, Anuel AA, Maluma, Brytiago, Bryant Myers, Mambo Kingz, Eladio Carrion"
