artist1 id,artist1 name,artist2 id,artist1 name,common_neighbors_count
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5J10DHSs5nFktP4DNYncwj,Staysman,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,71c9ORC5hHt0J1TGCa5nxN,Nordman,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,05oKAvXcArvQQVSo2pax3x,DJ Dark,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5vCOdeiQt9LyzdI87kt5Sh,AronChupa,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,62asM9lq1JNGCbhg0x2Kkw,Mentol,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2lEOFtf3cCyzomQcMHJGfZ,Ylvis,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,4lAI6jiWfiec8dgvxMUyFe,Asher,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3dDmMFEyhqM05NVVe8hYzL,Andrew S,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,24xzORWu5qGWjeT840PdhP,Opptur,1
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,4X8ZQYIamykCGOZhbRtv2r,RANDI,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5I2npDY7iTdYpgfJPSRAAw,Alex Pintilie,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,7A3fefmffBi6jDv2MxMcz3,Adrian Sellevoll,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3HphLd0XiELTvIPYf55dYC,Dance Fruits Music,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3O0OUcf7693cHwTBJWKl5K,Knut Bjørnar Asphol,1
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2P3kgnd5wvgoh0R1L7Hb5t,Alexandra Niemi,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,1jfhMoC88bueFbxYuwUpNN,Moonsound,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,4BUMbF5T9eV903PJlU3nYh,Folloruss 2015,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5nAJAV1qtXz8CU3n8JhRie,J. Heart,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,1oqThNqOfhev071PvmOwWQ,DJ Project,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,0Wy14jDD8a0jTBzrs8JWYn,Robin Veela,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,137Uwlc7smmz9WOgle0Xqy,Adrian Funk,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,7MSMyOc1j9cFizzGmhK3mo,Son of light & Carina Istre,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,0ntVZReCfBFQctUiiaTaeu,Lasse Stefanz,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3MPjnETEr8lNQAEk05Pxg8,DJ Anton,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,05eT2jRBB4wHpNvO3lPc9L,Neon,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,40WYRdzpABj4U2tEGEUpHP,Stjørna Heimbrentslag,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,08JjzDgK2ltxMBWlez1YyH,Hasse Andersson,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,0dYvuRiNl1KT3TIhLVkrF1,PAX Paradise Auxiliary,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,6wMcOYgBlkGB7Vj888cNGr,Lars Erik Blokkhus,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5xmfXwTbTxL1CAWPIO5owA,Nico D,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,48XeauxB5rhLPXPtACuuUR,Katastrofe,1
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,58WNaQYHzXvOY23UGICpOb,Maybon,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2KKEHaytKaKmYqM7QTQtdC,DJ Fistmagnet,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,6mRXYOEezrC6RPOtpmEi0X,Mr. Pimp-Lotion,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2HBMMfzBFvj6ZzdEOGV95g,Hålogalandslaget,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2rCu8D8ST7i3lUILyB3yQR,Erik Og Kriss,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5kuBUn8xuU9w2Q8ys3WhDA,M.M.B.,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2KL7fmm4PRSfoQevYwfULK,James Aki,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,4k4rM8rhou3XLx0x5UhDfW,Kutoppen,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3DdqT0OIZY3arBWnZ3NJeb,Postgirobygget,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5f8j6b7LRg4sRxNK0aLF77,Stian Thorbjørnsen,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,1QexdJFYGyxdBlEpDSy0d4,Nane,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3LzHaN3Y3gT35BudaFqVyy,Kamferdrops,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,3LhSVeO5t8j6GsAr58oWVH,LOKE,1
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,4q4aWx2s5KS9s0FA8MTRn7,Landeveiens Helter,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,29J9FnXTG86wYTKhcPh17T,Boblandslaget,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2dViR9WphpDpMB3oUiDblq,Staysman & Lazz,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,0US7LP9EI9zyUA8q3rW2nO,Innterier,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,1IxP1g9VrPzJqXFCsuyHKe,Måns Zelmerlöw,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,5yzLRjAu6ni4Bb3fQDED2q,Mausio,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2ZDK6yQBEx58tOvnQDTFW3,Innertier,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,2DspEsT7UXGKd2VaaedgG4,Alex Rose,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,24Lqq3mnesl7IljSVFEBEO,Hver gang vi møtes,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,7J8OsnJjGfG1uHd348LZPI,Ole Hartz,0
1hNV45JXomKPKDp1Fsp9vl,D'Dorian,6O9WquDfQTxGRZqZUXVEQx,RedOne,0
